description,category
Supplying fixing and testing CPVC pipes for hot and cold water supply system,Plumbing
PVC pipe 50mm dia for water supply line,Plumbing
Gate valve 2 inch brass for water line,Plumbing
Sanitary fitting wash basin with pedestal installation,Plumbing
Flush valve for western WC installation,Plumbing
Water tank connection pipeline work with fittings,Plumbing
Ball valve 25mm for water supply control,Plumbing
Supplying and fixing chrome plated bib cock,Plumbing
Installation of concealed cistern for WC,Plumbing
Providing and fixing stainless steel kitchen sink with drain board,Plumbing
UPVC soil pipe 110mm dia for waste water drainage,Plumbing
Supplying and fixing angle valve 15mm CP,Plumbing
Installation of water meter 20mm for domestic supply,Plumbing
Providing and fixing shower mixer with hand shower,Plumbing
PPR pipe 25mm for hot water supply line,Plumbing
Supplying and fixing floor trap 100mm with grating,Plumbing
Installation of pressure reducing valve 50mm,Plumbing
Providing and fixing urinal with flush valve,Plumbing
Supplying and fixing health faucet with hose,Plumbing
Installation of water heater connection points,Plumbing
Providing and fixing towel rail chrome plated,Plumbing
Supplying and fixing soap dish holder SS,Plumbing
Installation of overhead water tank float valve,Plumbing
Providing and fixing non return valve 25mm,Plumbing
Supplying and fixing pillar cock for wash basin,Plumbing
Cable tray installation and wiring work,Electrical
Distribution board panel 12 way TPN installation,Electrical
Electrical wiring with PVC conduit 25mm system,Electrical
LED light fitting 18W surface mounted installation,Electrical
Switch and socket 6A wiring work,Electrical
Power outlet 13A with metal box installation,Electrical
Circuit breaker 32A TP MCB installation,Electrical
Earthing system with copper electrode,Electrical
Cable laying XLPE 4 core 2.5 sqmm,Electrical
Junction box installation with connectors,Electrical
Providing and fixing ceiling fan regulator electronic,Electrical
Installation of exhaust fan 150mm with wiring,Electrical
Supplying and fixing 3 pin 16A power socket,Electrical
Providing and laying armoured cable 3.5 core 25 sqmm,Electrical
Installation of UPS power socket with dedicated circuit,Electrical
Providing and fixing modular switch plate 6 module,Electrical
Installation of ELCB 63A 4 pole for safety,Electrical
Supplying and fixing LED panel light 12W recessed,Electrical
Providing and fixing emergency light battery operated,Electrical
Cable termination and jointing work for HT cable,Electrical
Installation of capacitor bank panel for power factor,Electrical
Providing and fixing street light pole 6 meter,Electrical
Supplying and fixing MCB 20A single pole,Electrical
Installation of transformer 100KVA oil cooled,Electrical
Providing and fixing wire 1.5 sqmm FR PVC insulated,Electrical
Fire sprinkler system installation with piping,Fire
Hydrant pipeline system installation with valves,Fire
Fire alarm detection system with smoke detectors,Fire
Fire pump installation centrifugal 100HP,Fire
Fire safety equipment installation and testing,Fire
Smoke detector addressable installation,Fire
Fire hose reel with 30m hose installation,Fire
